,place,team,score,captured_at
0,1,RGBTeam,1431606,2021-07-12 20:07:16.219028
1,2,manarimo,1427821,2021-07-12 20:07:16.219028
2,3,Special Weekend,1370825,2021-07-12 20:07:16.219028
3,4,Unagi,1331604,2021-07-12 20:07:16.219028
4,5,DiamondPrincess,1279804,2021-07-12 20:07:16.219028
5,6,chirijako,1269696,2021-07-12 20:07:16.219028
6,7,fixstars,1194898,2021-07-12 20:07:16.219028
7,8,All your poses are belong to us,1161232,2021-07-12 20:07:16.219028
8,9,WILD BASHKORT MAGES,1095317,2021-07-12 20:07:16.219028
9,10,Pigimarl,1090116,2021-07-12 20:07:16.219028
10,11,Frictionless Bananas,1077346,2021-07-12 20:07:16.219028
11,12,negainoido,1067179,2021-07-12 20:07:16.219028
12,13,All In,1064565,2021-07-12 20:07:16.219028
13,14,sanma,1061438,2021-07-12 20:07:16.219028
14,15,Independent Set,1050289,2021-07-12 20:07:16.219028
15,16,Closed and Restricted Boltzmann Machine ,1050076,2021-07-12 20:07:16.219028
16,17,301,1023731,2021-07-12 20:07:16.219028
17,18,Sosuupoyo(sugoi),997060,2021-07-12 20:07:16.219028
18,19,CowDay,991600,2021-07-12 20:07:16.219028
19,20,ã°ã¬ã¼ã¹ããªã,957806,2021-07-12 20:07:16.219028
20,21,pegovka,940228,2021-07-12 20:07:16.219028
21,22,The Cat is #1!!,922814,2021-07-12 20:07:16.219028
22,23,Folding at home,921228,2021-07-12 20:07:16.219028
23,24,"Snakes, Monkeys and Two Smoking Lambdas",917894,2021-07-12 20:07:16.219028
24,25,Gon the Fox,912809,2021-07-12 20:07:16.219028
25,26,udfew,907517,2021-07-12 20:07:16.219028
26,27,Powder,882913,2021-07-12 20:07:16.219028
27,28,Olympia,871508,2021-07-12 20:07:16.219028
28,29,KMC,852414,2021-07-12 20:07:16.219028
29,30,codingteam,837779,2021-07-12 20:07:16.219028
30,31,ichyo,818384,2021-07-12 20:07:16.219028
31,32,lambda-llama,808585,2021-07-12 20:07:16.219028
32,33,trup16,806596,2021-07-12 20:07:16.219028
33,34,182020,783861,2021-07-12 20:07:16.219028
34,35,iehn,783667,2021-07-12 20:07:16.219028
35,36,Cult of the Bound Variable,774447,2021-07-12 20:07:16.219028
36,37,Zebra Infused Hamsters,751792,2021-07-12 20:07:16.219028
37,38,bowwowforeach,735305,2021-07-12 20:07:16.219028
38,39,Rotten Lambdas,701500,2021-07-12 20:07:16.219028
39,40,Dire Kettle,675641,2021-07-12 20:07:16.219028
40,41,Fish-Aobayama,667146,2021-07-12 20:07:16.219028
41,42,undefined,638122,2021-07-12 20:07:16.219028
42,43,okaduki,624037,2021-07-12 20:07:16.219028
43,44,EgÃ©r a marson,617801,2021-07-12 20:07:16.219028
44,45,The Blind Hen,616198,2021-07-12 20:07:16.219028
45,46,Side Effects May Include...,608460,2021-07-12 20:07:16.219028
46,47,Skobochka,602880,2021-07-12 20:07:16.219028
47,48,Aim Tech + Godnotent,601622,2021-07-12 20:07:16.219028
48,49,Wheezards,572822,2021-07-12 20:07:16.219028
49,50,uni,567524,2021-07-12 20:07:16.219028
50,51,THIRTEEN,565310,2021-07-12 20:07:16.219028
51,52,Channable,560739,2021-07-12 20:07:16.219028
52,53,ksmlb,544495,2021-07-12 20:07:16.219028
53,54,kstm.org,542378,2021-07-12 20:07:16.219028
54,55,uguu.org,541824,2021-07-12 20:07:16.219028
55,56,Chordify,541570,2021-07-12 20:07:16.219028
56,57,Raging Mushrooms,538189,2021-07-12 20:07:16.219028
57,58,OMG ICFP FTW,525595,2021-07-12 20:07:16.219028
58,59,Bottle kids!,503894,2021-07-12 20:07:16.219028
59,60,xyznlp,488314,2021-07-12 20:07:16.219028
60,61,LILiK,473615,2021-07-12 20:07:16.219028
61,62,TBD,465486,2021-07-12 20:07:16.219028
62,63,The Wild Lobsters,465258,2021-07-12 20:07:16.219028
63,64,Goretz,447252,2021-07-12 20:07:16.219028
64,65,Sigmoid Freud,436164,2021-07-12 20:07:16.219028
65,66,Invisible Imp,434793,2021-07-12 20:07:16.219028
66,67,Bunny Girl Senpai,432978,2021-07-12 20:07:16.219028
67,68,Yoshida Chicken Rice,432240,2021-07-12 20:07:16.219028
68,69,TeamDev,407004,2021-07-12 20:07:16.219028
69,70,Vanilla Bears,406080,2021-07-12 20:07:16.219028
70,71,Nik & Tonsky,405518,2021-07-12 20:07:16.219028
71,72,Eldies,402661,2021-07-12 20:07:16.219028
72,73,seladir (cw),401611,2021-07-12 20:07:16.219028
73,74,ACCESS_VIOLATION,386241,2021-07-12 20:07:16.219028
74,75,code-o-matic,386201,2021-07-12 20:07:16.219028
75,76,cashto,377826,2021-07-12 20:07:16.219028
