,place,team,score,captured_at
0,1,RGBTeam,1431606,2021-07-12 20:42:23.686883
1,2,manarimo,1427821,2021-07-12 20:42:23.686883
2,3,Special Weekend,1370825,2021-07-12 20:42:23.686883
3,4,Unagi,1331604,2021-07-12 20:42:23.686883
4,5,DiamondPrincess,1279804,2021-07-12 20:42:23.686883
5,6,chirijako,1269696,2021-07-12 20:42:23.686883
6,7,fixstars,1194898,2021-07-12 20:42:23.686883
7,8,All your poses are belong to us,1161232,2021-07-12 20:42:23.686883
8,9,WILD BASHKORT MAGES,1095317,2021-07-12 20:42:23.686883
9,10,Pigimarl,1090116,2021-07-12 20:42:23.686883
10,11,Frictionless Bananas,1077346,2021-07-12 20:42:23.686883
11,12,negainoido,1067179,2021-07-12 20:42:23.686883
12,13,All In,1064565,2021-07-12 20:42:23.686883
13,14,sanma,1061438,2021-07-12 20:42:23.686883
14,15,Independent Set,1050289,2021-07-12 20:42:23.686883
15,16,Closed and Restricted Boltzmann Machine ,1050076,2021-07-12 20:42:23.686883
16,17,301,1023731,2021-07-12 20:42:23.686883
17,18,Sosuupoyo(sugoi),997060,2021-07-12 20:42:23.686883
18,19,CowDay,991600,2021-07-12 20:42:23.686883
19,20,ã°ã¬ã¼ã¹ããªã,957806,2021-07-12 20:42:23.686883
20,21,pegovka,940228,2021-07-12 20:42:23.686883
21,22,The Cat is #1!!,922814,2021-07-12 20:42:23.686883
22,23,Folding at home,921228,2021-07-12 20:42:23.686883
23,24,"Snakes, Monkeys and Two Smoking Lambdas",917894,2021-07-12 20:42:23.686883
24,25,Gon the Fox,912809,2021-07-12 20:42:23.686883
25,26,udfew,907517,2021-07-12 20:42:23.686883
26,27,Powder,882913,2021-07-12 20:42:23.686883
27,28,Olympia,871508,2021-07-12 20:42:23.686883
28,29,KMC,852414,2021-07-12 20:42:23.686883
29,30,codingteam,837779,2021-07-12 20:42:23.686883
30,31,ichyo,818384,2021-07-12 20:42:23.686883
31,32,lambda-llama,808585,2021-07-12 20:42:23.686883
32,33,trup16,806596,2021-07-12 20:42:23.686883
33,34,182020,783861,2021-07-12 20:42:23.686883
34,35,iehn,783667,2021-07-12 20:42:23.686883
35,36,Cult of the Bound Variable,774447,2021-07-12 20:42:23.686883
36,37,Zebra Infused Hamsters,751792,2021-07-12 20:42:23.686883
37,38,bowwowforeach,735305,2021-07-12 20:42:23.686883
38,39,Rotten Lambdas,701500,2021-07-12 20:42:23.686883
39,40,Dire Kettle,675641,2021-07-12 20:42:23.686883
40,41,Fish-Aobayama,667146,2021-07-12 20:42:23.686883
41,42,undefined,638122,2021-07-12 20:42:23.686883
42,43,okaduki,624037,2021-07-12 20:42:23.686883
43,44,EgÃ©r a marson,617801,2021-07-12 20:42:23.686883
44,45,The Blind Hen,616198,2021-07-12 20:42:23.686883
45,46,Side Effects May Include...,608460,2021-07-12 20:42:23.686883
46,47,Skobochka,602880,2021-07-12 20:42:23.686883
47,48,Aim Tech + Godnotent,601622,2021-07-12 20:42:23.686883
48,49,Wheezards,572822,2021-07-12 20:42:23.686883
49,50,uni,567524,2021-07-12 20:42:23.686883
50,51,THIRTEEN,565310,2021-07-12 20:42:23.686883
51,52,Channable,560739,2021-07-12 20:42:23.686883
52,53,ksmlb,544495,2021-07-12 20:42:23.686883
53,54,kstm.org,542378,2021-07-12 20:42:23.686883
54,55,uguu.org,541824,2021-07-12 20:42:23.686883
55,56,Chordify,541570,2021-07-12 20:42:23.686883
56,57,Raging Mushrooms,538189,2021-07-12 20:42:23.686883
57,58,OMG ICFP FTW,525595,2021-07-12 20:42:23.686883
58,59,Bottle kids!,503894,2021-07-12 20:42:23.686883
59,60,xyznlp,488314,2021-07-12 20:42:23.686883
60,61,LILiK,473615,2021-07-12 20:42:23.686883
61,62,TBD,465486,2021-07-12 20:42:23.686883
62,63,The Wild Lobsters,465258,2021-07-12 20:42:23.686883
63,64,Goretz,447252,2021-07-12 20:42:23.686883
64,65,Sigmoid Freud,436164,2021-07-12 20:42:23.686883
65,66,Invisible Imp,434793,2021-07-12 20:42:23.686883
66,67,Bunny Girl Senpai,432978,2021-07-12 20:42:23.686883
67,68,Yoshida Chicken Rice,432240,2021-07-12 20:42:23.686883
68,69,TeamDev,407004,2021-07-12 20:42:23.686883
